net_worth,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,industries,self_made,cpi_country,cpi_change_country,gdp_country,life_expectancy_country
22.9,James Ratcliffe,70,Male,United Kingdom,United Kingdom,London,Manufacturing,TRUE,119.62,1.7,2.827113185,81.3
22.6,Cyrus Poonawalla,81,Male,India,India,Pune,Healthcare,FALSE,180.44,7.7,2.611,69.4
22.4,Masayoshi Son,65,Male,Japan,Japan,Tokyo,Telecom,TRUE,105.48,0.5,5.081769542,84.2
22.1,Vladimir Lisin,66,Male,Russia,Russia,Moscow,Metals & Mining,TRUE,180.75,4.5,1.699876579,72.7
22,Emmanuel Besnier,52,Male,France,France,Laval,Food & Beverage,FALSE,110.05,1.1,2.715518274,82.5
21.6,Abigail Johnson,61,Female,United States,United States,Milton,Finance & Investments,FALSE,117.24,7.5,21.4277,78.5
21.6,Leonid Mikhelson & family,67,Male,Russia,Russia,Moscow,Energy,TRUE,180.75,4.5,1.699876579,72.7
21.2,Lukas Walton,36,Male,United States,United States,Chicago,Fashion & Retail,FALSE,117.24,7.5,21.4277,78.5
21.2,Wang Wei,52,Male,China,China,Shenzhen,Service,TRUE,125.08,2.9,19.91,77
21.1,Jensen Huang,60,Male,United States,United States,Los Altos,Technology,TRUE,117.24,7.5,21.4277,78.5
21,Leonard Lauder,90,Male,United States,United States,New York,Fashion & Retail,FALSE,117.24,7.5,21.4277,78.5
21,Takemitsu Takizaki,77,Male,Japan,Japan,Osaka,Manufacturing,TRUE,105.48,0.5,5.081769542,84.2
20.9,Alexey Mordashov & family,57,Male,Russia,Russia,Moscow,Metals & Mining,TRUE,180.75,4.5,1.699876579,72.7
20.5,Vagit Alekperov,72,Male,Russia,Russia,Moscow,Energy,TRUE,180.75,4.5,1.699876579,72.7
20.2,"Thomas Frist, Jr. & family",84,Male,United States,United States,Nashville,Healthcare,TRUE,117.24,7.5,21.4277,78.5
19.6,Andrew Forrest,61,Male,Australia,Australia,Perth,Metals & Mining,TRUE,119.8,1.6,1.392680589,82.7
19.1,Ray Dalio,73,Male,United States,United States,Greenwich,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
19,Eric Li,59,Male,China,China,Hangzhou,Automotive,TRUE,125.08,2.9,19.91,77
19,Wang Wenyin,55,Male,China,China,Shenzhen,Metals & Mining,TRUE,125.08,2.9,19.91,77
18.9,Eyal Ofer,72,Male,Israel,Monaco,Monte Carlo,Diversified,FALSE,NA,NA,0.007184844,NA
